Km,Fm,zMin
0.5,0.5,-32456.6616350343
0.5,1,-16223.2578788477
0.5,1.5,-11042.3067180747
0.5,2,-8106.5560007497
0.5,2.5,-6483.21562512941
0.5,3,-5515.73008659578
0.5,3.5,-4879.48002001768
0.5,4,-4222.81515014342
0.5,4.5,-3915.67489923573
0.5,5,-3236.53487389089
1,0.5,-25810.7643365604
1,1,-12901.3479756667
1,1.5,-8783.93497442496
1,2,-6446.63979522067
1,2.5,-5155.69815913131
1,3,-4387.52227806764
1,3.5,-3884.17091261142
1,4,-3360.47211993866
1,4.5,-3119.81163797312
1,5,-2573.81488695297
1.5,0.5,-21929.9095683806
1.5,1,-10961.5271646889
1.5,1.5,-7465.7987020356
1.5,2,-5477.33596284324
1.5,2.5,-4380.49772247405
1.5,3,-3729.33548523953
1.5,3.5,-3304.53194967464
1.5,4,-2858.16882167914
1.5,4.5,-2657.43283644182
1.5,5,-2186.82124173584
2,0.5,-19183.576594362
2,1,-9588.78992634678
2,1.5,-6533.31614497746
2,2,-4791.39659233962
2,2.5,-3831.91792553809
2,3,-3263.86522429172
2,3.5,-2894.89656411533
2,4,-2503.18918639155
2,4.5,-2330.92120659699
2,5,-1912.96059193512
2.5,0.5,-17060.7782403279
2.5,1,-8527.72254025756
2.5,1.5,-5812.18708201012
2.5,2,-4261.19469022249
2.5,2.5,-3407.88912021549
2.5,3,-2903.73408738771
2.5,3.5,-2577.08543214513
2.5,4,-2227.93307608763
2.5,4.5,-2076.45804469476
2.5,5,-1701.27798019632
3,0.5,-15333.9075271918
3,1,-7664.5570915846
3,1.5,-5224.88001390494
3,2,-3829.88187378115
3,2.5,-3062.94683022048
3,3,-2610.14366155635
3,3.5,-2316.86914168644
3,4,-2002.72396452486
3,4.5,-1866.64834644932
3,5,-1529.07674312929
3.5,0.5,-13881.5522804286
3.5,1,-6938.60646964832
3.5,1.5,-4730.58339250264
3.5,2,-3467.13356425824
3.5,2.5,-2772.83898318025
3.5,3,-2362.92038881399
3.5,3.5,-2097.62192278487
3.5,4,-1812.95884492623
3.5,4.5,-1689.72136242945
3.5,5,-1384.24982388376
4,0.5,-12631.2405409663
4,1,-6313.6460221959
4,1.5,-4305.32851760254
4,2,-3154.84876281082
4,2.5,-2523.08931093381
4,3,-2150.36924262806
4,3.5,-1910.22281323257
4,4,-1650.53196343771
4,4.5,-1540.10642163706
4,5,-1259.57045968616
4.5,0.5,-11536.2266546408
4.5,1,-5766.31022843711
4.5,1.5,-3933.50216484223
4.5,2,-2881.35201533537
4.5,2.5,-2304.360372715
4.5,3,-1964.77700904396
4.5,3.5,-1747.84353693229
4.5,4,-1509.54047483764
4.5,4.5,-1412.49353993738
4.5,5,-1150.37764423558
5,0.5,-10564.5932053276
5,1,-5280.64536896477
5,1.5,-3603.91638475068
5,2,-2638.67145078354
5,2.5,-2110.27666714727
5,3,-1800.39026765037
5,3.5,-1604.09386708322
5,4,-1384.71505030251
5,4.5,-1299.97775519162
5,5,-1053.49122579477
